City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
558,Junin,AR,56.46,broken clouds,-34.5838,-60.9433,Hotel Central
564,Shalinskoye,RU,66.67,broken clouds,55.7228,93.7594,Belaya Sova
569,Calvillo,MX,67.14,overcast clouds,21.85,-102.7167,Hotel La Gloria de Calvillo
572,Portland,US,67.14,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
574,Soe,ID,63.05,broken clouds,-9.8607,124.284,Dena Hotel
578,Grindavik,IS,53.55,overcast clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
583,Bakchar,RU,54.01,overcast clouds,57.0186,82.0711,Kristina
587,Ulaangom,MN,65.59,overcast clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
589,Flinders,AU,59.18,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
594,Kununurra,AU,67.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
601,Christchurch,NZ,49.48,overcast clouds,-43.5333,172.6333,The George
602,Leningradskiy,RU,37.11,overcast clouds,69.3833,178.4167,Gostinitsa
604,Pithoragarh,IN,68.56,overcast clouds,29.5833,80.2167,Hipostel Pithoragarh (Cafe Morrison)
607,Port Hedland,AU,64.45,broken clouds,-20.3167,118.5667,The Esplanade Hotel
611,Vuktyl,RU,54.03,overcast clouds,63.8567,57.3094,Mini-Hotel Lokomotiv
614,Rawson,AR,43.48,clear sky,-43.3002,-65.1023,Hosteria Sampedro
621,Tarko-Sale,RU,49.21,light rain,64.9225,77.785,Yubileynaya
627,Benito Juarez,MX,66.0,clear sky,19.385,-99.165,Hotel Novit
636,Port Augusta,AU,57.34,broken clouds,-32.5,137.7667,Majestic Oasis Apartments
637,Eston,CA,64.29,clear sky,51.1501,-108.7514,Hearthside Place B&B
642,Faya,SA,68.11,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
652,Port Hawkesbury,CA,68.04,overcast clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
653,Lerwick,GB,59.0,overcast clouds,60.1545,-1.1494,The Lerwick Hotel
656,Rio Cuarto,AR,50.83,broken clouds,-33.1307,-64.3499,Grand Hotel Río Cuarto
657,Kiomboi,TZ,68.68,broken clouds,-4.2667,34.3667,Reyd's Executive Lodge
667,Flin Flon,CA,62.44,broken clouds,54.7682,-101.865,Victoria Inn Flin Flon
668,Limoges,FR,68.68,light rain,45.75,1.3333,Hôtel Le Saint Eloi Logis & SPA - Restaurant C. Pasquier
